Notice ID,Publication date,Contracting authority name,Contracting authority country code,ContractID,Title,Description,Value,Currency,Awarded supplier,Awarded supplier country code,Justification
2021/S 074-187359,2021-04-16,Missing: Contracting Authority Name,Missing: Contracting Authority Country,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots
2025/S 35-112043,2025-02-19,CNRS Délégation Paris-Centre,FR,LOT-0001,2024_AOO_CRYOSTAT_LPENS,"Acquisition, livraison et installation d’un cryostat à dilution pour le compte du LPENS / UMR CNRS 8023",489740,EUR,QINU GmBH,DE,Missing: Justification
2025/S 35-112986,2025-02-19,CNRS Délégation Paris-Centre,FR,LOT-0001,2024_AOO_CRYOSTAT_LPENS,"Acquisition, livraison et installation d’un cryostat à dilution sans hélium liquide pour des expériences de transport électronique sous illumination pour le compte du LPENS / UMR CNRS 8023",448000,EUR,Oxford Instruments GmbH,DE,Missing: Justification
2019/S 020-043086,2019-01-29,National Physical Laboratory,UK,1,OJEU ITT — Dilution Refrigerator,"The National Physical Laboratory [NPL] requirement is for a new dilution refrigerator for measurements of superconducting circuits and high coherence superconducting qubits at millikelvin temperatures. The new system should be large enough to accommodate multiple samples, each one requiring multiple microwave and dc-lines. Furthermore, the system will host a Scanning Probe Measurement (SPM) system meaning a low-vibration level at the mixing chamber is of utmost importance. The system will also be used for commercial services for which rapid turnaround and exchange of dedicated measurement line assemblies are required.",Missing: Amount,Missing: Amount,no awarded supplier,no awarded supplier,Missing: Justification
2018/S 180-407907,2018-09-19,Centre national de la recherche scientifique,FR,CNRS_DR1_SFC_2018-01,Fourniture d'un cryostat à dilution et exécution des prestations associées pour le compte du CNRS Umr7162,Fourniture d'un cryostat à dilution et exécution des prestations associées pour le compte du CNRS Umr7162.,378870,EUR,Bluefors Cryogenics Oy Ltd,FI,Missing: Justification
2016/S 141-255616,2016-07-23,Universiteit Leiden,NL,1,Upgrade of 3K system to Cryogen-Free Dilution Refrigerator System.,Upgrade of 3K system to Cryogen-Free Dilution Refrigerator System.,280000,EUR,Leiden Cryogenics bv,NL,Missing: Justification
2024/S 138-429111,2024-07-17,Centre national de la recherche scientifique ile de france gif sur yvette,FR,LOT-0001,"Fourniture, livraison, installation, formation et mise en service d'un système cryogénique à dilution 3he/4he à cycle fermé","Le système A (lot 1) devra garantir une température de base inférieure au égale à 12 mK, il doit être équipé d’accès fibres optiques avec connecteurs adaptés, un emplacement pour des nano-positionneurs piézo-électriques pour maintenir les fibres optiques, et des ports RF, DC et des hublots d’observation extérieure (port optique). Le système cryogénique sera fourni avec tous les éléments nécessaires au bon fonctionnement de l'appareil (pompes de circulation du mélange, compresseurs, système de thermométrie, système de gestion, mélange 3He/4He). La hauteur totale du système doit être compatible avec une hauteur sous plafond de 4.5 m. Les différentes parties du système doivent avoir les caractéristiques techniques détaillées ci-après.",471000,EUR,OXFORD INSTRUMENTS,DE,Missing: Justification
2024/S 138-429111,2024-07-17,Centre national de la recherche scientifique ile de france gif sur yvette,FR,LOT-0002,"Fourniture, livraison, installation, formation et mise en service d'un cryostat 4k à circuit ferme d’hélium pour la nanophononique","Le système B (lot 2) doit fonctionner selon le principe de cycle fermé d’hélium avec un compresseur refroidi à eau. Le compresseur doit pouvoir être déporté de 20 mètres par rapport au cryostat. Le temps de fonctionnement sans maintenance doit être supérieur à 18 mois, et le temps de fonctionnement du système sans réchauffement doit pouvoir excéder un mois. La puissance de refroidissement doit être adaptée au refroidissement d’un échantillon de GaAs (dimensions 10mmx15mmx0.5mm). Le cryostat doit nous permettre de pouvoir accéder à des températures comprises entre 4K et 300K au niveau de l’échantillon. Une sonde de température sera placée au plus près de l’échantillon afin de pouvoir contrôler et réguler la température. Un écran thermique à 50K devra protéger la zone expérimentale du rayonnement externe.",134527.5,EUR,PASQAL SAS,FR,Missing: Justification
2024/S 138-429111,2024-07-17,Centre national de la recherche scientifique ile de france gif sur yvette,FR,GLO-0001,Missing: Title,Missing: Desciption,Missing: Value,Missing: Value,no awarded supplier,no awarded supplier,Missing: Justification
2023/S 217-680640,2023-11-10,Technische Universiteit Delft,NL,10695,Dilution refridgerator for ScappucciLab,"Het ScappucciLab van de TU Delft bestudeert en optimaliseert de materiaal- en apparaateigenschappen om de prestaties van spinqubits te verbeteren. De groep vertrouwde op twee wet dilution refrigerators om zijn experimenten uit te voeren. Door het wereldwijde tekort aan Helium moet de groep echter afzien van deze systemen en een dry dilution refrigerator aanschaffen. Veel componenten (PCB's, filters, cold fingers) zijn zelfgemaakt en geoptimaliseerd voor de experimenten. Er zijn aanzienlijke tijd- en kosteninvesteringen gedaan in het ontwerpen van een koude vinger (meerdere iteraties zijn in meerdere jaren geoptimaliseerd). Daarnaast zijn de lijnen en filters geoptimaliseerd en op maat gemaakt. Bovendien heeft het lab gezamenlijke experimenten met andere onderzoekers in Delft, wat resulteert in een aanzienlijk aantal compatibele opstellingen. Afwijking hiervan zou leiden tot aanzienlijke vertraging in het onderzoek en kan verdere voortgang in de weg staan. Bovendien zijn de ontwikkelingen van deze componenten gemaakt voor de bestaande opstellingen, en het ontwikkelen van nieuwe componenten en het werken onder andere omstandigheden zal de haalbaarheid van het vergelijken van onderzoeksresultaten beïnvloeden vanwege verschillen in prestaties. Ten slotte is het cruciaal om de flexibiliteit te garanderen om te schakelen tussen componenten van een fridge. Bijvoorbeeld om de magneten tussen fridges, koude vingers en filters te kunnen verwisselen zonder de overhead, vraagtekens bij validiteit of compromissen te sluiten met het experiment. Kortom, om de samenwerking binnen de SpinQubit-groepen voort te zetten en de huidige mogelijkheden uit te breiden, is het voor het ScappucciLab onoverkomelijk om een Bluefors fridge aan te schaffen.",706180.33,EUR,Bluefors Oy,FI,Missing: Justification
